Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/dialog/811984C6-DDC1-4E15-BE11-5311C6E8436A/list,3116,203,23,580,66.69,0.000%,236.09638,114.36,102.83,496.0
/dialog/A9DCED62-24A3-4BA9-BF33-0F5CE41E9E93/list,3058,203,23,688,65.51,0.000%,232.35316,110.96,101.20,489.0
TOTAL,6174,203,23,688,66.11,0.000%,467.79815,225.01,203.75,492.5
