Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
/user/search,10000,40,4,263,30.67,0.000%,2024.29150,13853.74,357.81,7008.0
TOTAL,10000,40,4,263,30.67,0.000%,2024.29150,13853.74,357.81,7008.0
